"rbd";"id_subdimension";"agno";"id_indicador";"id_dimension";"niv_mbajo_por";"niv_mmedio_por";"niv_malto_por";"niv_bajo_por";"niv_medio_por";"niv_alto_por";"codigo_bbdd";"fecha_bbdd";"grado"
78;121;2025;1;12;;;;38;56;6;v12025;20260423;2m
78;122;2025;1;12;;;;88;;13;v12025;20260423;2m
78;211;2025;2;21;;;;69;31;0;v12025;20260423;2m
78;212;2025;2;21;;;;25;75;0;v12025;20260423;2m
78;221;2025;2;22;;;;69;25;6;v12025;20260423;2m
78;222;2025;2;22;;;;94;;6;v12025;20260423;2m
78;231;2025;2;23;;;;38;56;6;v12025;20260423;2m
78;232;2025;2;23;;;;88;;13;v12025;20260423;2m
78;311;2025;3;31;;;;81;6;13;v12025;20260423;2m
78;312;2025;3;31;;;;75;13;13;v12025;20260423;2m
78;321;2025;3;32;;;;56;31;13;v12025;20260423;2m
78;322;2025;3;32;;;;25;56;19;v12025;20260423;2m
78;323;2025;3;32;;;;88;6;6;v12025;20260423;2m
78;331;2025;3;33;;;;44;56;0;v12025;20260423;2m
78;411;2025;4;41;;;;31;44;25;v12025;20260423;2m
78;412;2025;4;41;;;;50;;50;v12025;20260423;2m
78;421;2025;4;42;;;;13;56;31;v12025;20260423;2m
78;422;2025;4;42;;;;50;;50;v12025;20260423;2m
78;431;2025;4;43;;;;19;31;50;v12025;20260423;2m
78;432;2025;4;43;;;;19;;81;v12025;20260423;2m
97;111;2025;1;11;;;;29;39;32;v12025;20260423;2m
97;112;2025;1;11;;;;28;43;29;v12025;20260423;2m
97;121;2025;1;12;;;;31;58;11;v12025;20260423;2m
97;122;2025;1;12;;;;82;;18;v12025;20260423;2m
97;211;2025;2;21;;;;40;46;14;v12025;20260423;2m
97;212;2025;2;21;;;;30;51;19;v12025;20260423;2m
97;221;2025;2;22;;;;59;33;8;v12025;20260423;2m
97;222;2025;2;22;;;;72;;28;v12025;20260423;2m
97;231;2025;2;23;;;;34;51;15;v12025;20260423;2m
97;232;2025;2;23;;;;80;;20;v12025;20260423;2m
97;311;2025;3;31;;;;85;4;11;v12025;20260423;2m
97;312;2025;3;31;;;;71;12;18;v12025;20260423;2m
97;321;2025;3;32;;;;58;21;22;v12025;20260423;2m
97;322;2025;3;32;;;;33;45;22;v12025;20260423;2m
97;323;2025;3;32;;;;65;12;23;v12025;20260423;2m
97;331;2025;3;33;;;;59;34;7;v12025;20260423;2m
97;411;2025;4;41;;;;25;35;40;v12025;20260423;2m
97;412;2025;4;41;;;;63;;37;v12025;20260423;2m
97;421;2025;4;42;;;;15;50;35;v12025;20260423;2m
97;422;2025;4;42;;;;64;;36;v12025;20260423;2m
97;431;2025;4;43;;;;7;60;34;v12025;20260423;2m
97;432;2025;4;43;;;;40;;60;v12025;20260423;2m
103;111;2025;1;11;;;;30;35;35;v12025;20260423;2m
103;112;2025;1;11;;;;14;38;49;v12025;20260423;2m
103;121;2025;1;12;;;;43;54;3;v12025;20260423;2m
103;122;2025;1;12;;;;76;;24;v12025;20260423;2m
103;211;2025;2;21;;;;8;65;27;v12025;20260423;2m
103;212;2025;2;21;;;;27;43;30;v12025;20260423;2m
103;221;2025;2;22;;;;30;62;8;v12025;20260423;2m
103;222;2025;2;22;;;;65;;35;v12025;20260423;2m
