"rbd";"agno";"nivel";"grado";"ind";"dim";"sdim";"niv_bajo_por";"niv_medio_por";"niv_alto_por";"niv_mbajo_por";"niv_mmedio_por";"niv_malto_por";"fecha_bbdd";"codigo_bdd"
45;2023;MEDIA;2;PF;VD;PD;33;21;46;;;;20240528;final20240528v1
45;2023;MEDIA;2;PF;PA;PE;87;8;6;;;;20240528;final20240528v1
45;2023;MEDIA;2;HV;HA;PH;55;;45;;;;20240528;final20240528v1
45;2023;MEDIA;2;AM;ME;PM;45;;55;;;;20240528;final20240528v1
45;2023;MEDIA;2;PF;PA;PP;53;23;25;;;;20240528;final20240528v1
45;2023;MEDIA;2;CC;AO;PR;42;;59;;;;20240528;final20240528v1
45;2023;MEDIA;2;HV;VA;PV;59;;42;;;;20240528;final20240528v1
45;2023;MEDIA;2;PF;VD;RD;12;44;44;;;;20240528;final20240528v1
45;2023;MEDIA;2;CC;AS;TV;68;;32;;;;20240528;final20240528v1
50;2023;MEDIA;2;AM;AA;AA;30;50;21;;;;20240528;final20240528v1
50;2023;MEDIA;2;CC;AR;AB;39;36;25;;;;20240528;final20240528v1
50;2023;MEDIA;2;HV;AC;AC;2;54;44;;;;20240528;final20240528v1
50;2023;MEDIA;2;HV;VA;AF;14;40;47;;;;20240528;final20240528v1
50;2023;MEDIA;2;HV;HA;AL;7;49;44;;;;20240528;final20240528v1
50;2023;MEDIA;2;CC;AO;AO;71;30;0;;;;20240528;final20240528v1
50;2023;MEDIA;2;CC;AR;CS;21;64;16;;;;20240528;final20240528v1
50;2023;MEDIA;2;PF;VD;EP;43;23;34;;;;20240528;final20240528v1
50;2023;MEDIA;2;AM;ME;ID;32;61;7;;;;20240528;final20240528v1
50;2023;MEDIA;2;PF;SP;IE;27;50;23;;;;20240528;final20240528v1
50;2023;MEDIA;2;CC;AS;MP;9;71;21;;;;20240528;final20240528v1
50;2023;MEDIA;2;AM;AA;PA;25;43;32;;;;20240528;final20240528v1
50;2023;MEDIA;2;HV;AC;PC;19;;81;;;;20240528;final20240528v1
50;2023;MEDIA;2;PF;VD;PD;56;14;30;;;;20240528;final20240528v1
50;2023;MEDIA;2;PF;PA;PE;89;5;7;;;;20240528;final20240528v1
50;2023;MEDIA;2;HV;HA;PH;23;;77;;;;20240528;final20240528v1
50;2023;MEDIA;2;AM;ME;PM;73;;27;;;;20240528;final20240528v1
50;2023;MEDIA;2;PF;PA;PP;68;7;25;;;;20240528;final20240528v1
50;2023;MEDIA;2;CC;AO;PR;66;;34;;;;20240528;final20240528v1
50;2023;MEDIA;2;HV;VA;PV;37;;63;;;;20240528;final20240528v1
50;2023;MEDIA;2;PF;VD;RD;12;49;40;;;;20240528;final20240528v1
50;2023;MEDIA;2;CC;AS;TV;77;;23;;;;20240528;final20240528v1
52;2023;MEDIA;2;AM;AA;AA;32;42;25;;;;20240528;final20240528v1
52;2023;MEDIA;2;CC;AR;AB;43;46;11;;;;20240528;final20240528v1
52;2023;MEDIA;2;HV;AC;AC;9;59;33;;;;20240528;final20240528v1
52;2023;MEDIA;2;HV;VA;AF;26;42;32;;;;20240528;final20240528v1
52;2023;MEDIA;2;HV;HA;AL;13;53;34;;;;20240528;final20240528v1
52;2023;MEDIA;2;CC;AO;AO;84;16;0;;;;20240528;final20240528v1
52;2023;MEDIA;2;CC;AR;CS;50;43;7;;;;20240528;final20240528v1
52;2023;MEDIA;2;PF;VD;EP;63;25;12;;;;20240528;final20240528v1
52;2023;MEDIA;2;AM;ME;ID;48;45;7;;;;20240528;final20240528v1
52;2023;MEDIA;2;PF;SP;IE;42;50;9;;;;20240528;final20240528v1
52;2023;MEDIA;2;CC;AS;MP;32;55;13;;;;20240528;final20240528v1
52;2023;MEDIA;2;AM;AA;PA;16;50;34;;;;20240528;final20240528v1
52;2023;MEDIA;2;HV;AC;PC;18;;83;;;;20240528;final20240528v1
52;2023;MEDIA;2;PF;VD;PD;66;17;17;;;;20240528;final20240528v1
52;2023;MEDIA;2;PF;PA;PE;90;4;6;;;;20240528;final20240528v1
52;2023;MEDIA;2;HV;HA;PH;54;;46;;;;20240528;final20240528v1
52;2023;MEDIA;2;AM;ME;PM;78;;22;;;;20240528;final20240528v1
52;2023;MEDIA;2;PF;PA;PP;74;14;13;;;;20240528;final20240528v1
52;2023;MEDIA;2;CC;AO;PR;76;;24;;;;20240528;final20240528v1
52;2023;MEDIA;2;HV;VA;PV;49;;51;;;;20240528;final20240528v1
52;2023;MEDIA;2;PF;VD;RD;33;46;21;;;;20240528;final20240528v1
52;2023;MEDIA;2;CC;AS;TV;80;;20;;;;20240528;final20240528v1
56;2023;MEDIA;2;AM;AA;AA;20;32;48;;;;20240528;final20240528v1
56;2023;MEDIA;2;CC;AR;AB;23;58;19;;;;20240528;final20240528v1
56;2023;MEDIA;2;HV;AC;AC;9;67;25;;;;20240528;final20240528v1
56;2023;MEDIA;2;HV;VA;AF;23;41;36;;;;20240528;final20240528v1
56;2023;MEDIA;2;HV;HA;AL;10;36;54;;;;20240528;final20240528v1
56;2023;MEDIA;2;CC;AO;AO;88;12;0;;;;20240528;final20240528v1
56;2023;MEDIA;2;CC;AR;CS;35;51;15;;;;20240528;final20240528v1
56;2023;MEDIA;2;PF;VD;EP;49;36;15;;;;20240528;final20240528v1
56;2023;MEDIA;2;AM;ME;ID;36;59;4;;;;20240528;final20240528v1
56;2023;MEDIA;2;PF;SP;IE;35;55;10;;;;20240528;final20240528v1
56;2023;MEDIA;2;CC;AS;MP;28;55;17;;;;20240528;final20240528v1
56;2023;MEDIA;2;AM;AA;PA;19;54;28;;;;20240528;final20240528v1
56;2023;MEDIA;2;HV;AC;PC;25;;75;;;;20240528;final20240528v1
56;2023;MEDIA;2;PF;VD;PD;58;15;28;;;;20240528;final20240528v1
56;2023;MEDIA;2;PF;PA;PE;97;1;1;;;;20240528;final20240528v1
56;2023;MEDIA;2;HV;HA;PH;70;;30;;;;20240528;final20240528v1
56;2023;MEDIA;2;AM;ME;PM;77;;23;;;;20240528;final20240528v1
56;2023;MEDIA;2;PF;PA;PP;78;12;10;;;;20240528;final20240528v1
56;2023;MEDIA;2;CC;AO;PR;68;;32;;;;20240528;final20240528v1
56;2023;MEDIA;2;HV;VA;PV;58;;42;;;;20240528;final20240528v1
56;2023;MEDIA;2;PF;VD;RD;30;45;25;;;;20240528;final20240528v1
56;2023;MEDIA;2;CC;AS;TV;80;;20;;;;20240528;final20240528v1
59;2023;MEDIA;2;AM;AA;AA;11;37;52;;;;20240528;final20240528v1
59;2023;MEDIA;2;CC;AR;AB;41;48;11;;;;20240528;final20240528v1
59;2023;MEDIA;2;HV;AC;AC;8;77;15;;;;20240528;final20240528v1
59;2023;MEDIA;2;HV;VA;AF;27;35;39;;;;20240528;final20240528v1
59;2023;MEDIA;2;HV;HA;AL;15;59;26;;;;20240528;final20240528v1
59;2023;MEDIA;2;CC;AO;AO;70;30;0;;;;20240528;final20240528v1
59;2023;MEDIA;2;CC;AR;CS;15;56;30;;;;20240528;final20240528v1
59;2023;MEDIA;2;PF;VD;EP;59;11;30;;;;20240528;final20240528v1
59;2023;MEDIA;2;AM;ME;ID;33;59;7;;;;20240528;final20240528v1
59;2023;MEDIA;2;PF;SP;IE;19;63;19;;;;20240528;final20240528v1
59;2023;MEDIA;2;CC;AS;MP;30;63;7;;;;20240528;final20240528v1
59;2023;MEDIA;2;AM;AA;PA;22;41;37;;;;20240528;final20240528v1
59;2023;MEDIA;2;HV;AC;PC;41;;59;;;;20240528;final20240528v1
59;2023;MEDIA;2;PF;VD;PD;70;15;15;;;;20240528;final20240528v1
59;2023;MEDIA;2;PF;PA;PE;85;4;11;;;;20240528;final20240528v1
59;2023;MEDIA;2;HV;HA;PH;74;;26;;;;20240528;final20240528v1
59;2023;MEDIA;2;AM;ME;PM;82;;19;;;;20240528;final20240528v1
59;2023;MEDIA;2;PF;PA;PP;63;11;26;;;;20240528;final20240528v1
59;2023;MEDIA;2;CC;AO;PR;78;;22;;;;20240528;final20240528v1
59;2023;MEDIA;2;HV;VA;PV;58;;42;;;;20240528;final20240528v1
59;2023;MEDIA;2;PF;VD;RD;33;44;22;;;;20240528;final20240528v1
59;2023;MEDIA;2;CC;AS;TV;70;;30;;;;20240528;final20240528v1
60;2023;MEDIA;2;AM;AA;AA;11;37;52;;;;20240528;final20240528v1
60;2023;MEDIA;2;CC;AR;AB;21;58;20;;;;20240528;final20240528v1
60;2023;MEDIA;2;HV;AC;AC;8;74;18;;;;20240528;final20240528v1
60;2023;MEDIA;2;HV;VA;AF;11;42;48;;;;20240528;final20240528v1
60;2023;MEDIA;2;HV;HA;AL;6;48;46;;;;20240528;final20240528v1
60;2023;MEDIA;2;CC;AO;AO;62;38;0;;;;20240528;final20240528v1
60;2023;MEDIA;2;CC;AR;CS;21;61;18;;;;20240528;final20240528v1
60;2023;MEDIA;2;PF;VD;EP;44;24;32;;;;20240528;final20240528v1
60;2023;MEDIA;2;AM;ME;ID;35;50;16;;;;20240528;final20240528v1
60;2023;MEDIA;2;PF;SP;IE;18;57;25;;;;20240528;final20240528v1
60;2023;MEDIA;2;CC;AS;MP;11;46;43;;;;20240528;final20240528v1
60;2023;MEDIA;2;AM;AA;PA;11;39;50;;;;20240528;final20240528v1
60;2023;MEDIA;2;HV;AC;PC;18;;82;;;;20240528;final20240528v1
60;2023;MEDIA;2;PF;VD;PD;50;23;27;;;;20240528;final20240528v1
60;2023;MEDIA;2;PF;PA;PE;80;8;12;;;;20240528;final20240528v1
60;2023;MEDIA;2;HV;HA;PH;58;;42;;;;20240528;final20240528v1
60;2023;MEDIA;2;AM;ME;PM;67;;33;;;;20240528;final20240528v1
60;2023;MEDIA;2;PF;PA;PP;64;13;23;;;;20240528;final20240528v1
60;2023;MEDIA;2;CC;AO;PR;57;;43;;;;20240528;final20240528v1
60;2023;MEDIA;2;HV;VA;PV;51;;49;;;;20240528;final20240528v1
60;2023;MEDIA;2;PF;VD;RD;12;55;33;;;;20240528;final20240528v1
60;2023;MEDIA;2;CC;AS;TV;77;;23;;;;20240528;final20240528v1
67;2023;MEDIA;2;AM;AA;AA;24;48;28;;;;20240528;final20240528v1
67;2023;MEDIA;2;CC;AR;AB;41;55;4;;;;20240528;final20240528v1
67;2023;MEDIA;2;HV;AC;AC;9;64;27;;;;20240528;final20240528v1
67;2023;MEDIA;2;HV;VA;AF;20;56;24;;;;20240528;final20240528v1
67;2023;MEDIA;2;HV;HA;AL;14;47;39;;;;20240528;final20240528v1
67;2023;MEDIA;2;CC;AO;AO;92;8;0;;;;20240528;final20240528v1
67;2023;MEDIA;2;CC;AR;CS;56;40;4;;;;20240528;final20240528v1
