agno|grado|rbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
2017|4b|24769|COLEGIO SAN ISAAC JOGUES|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13125|QUILICURA|SANTIAGO NORTE|Particular subvencionado|Medio|Urbano|70.26918880690543|71.84621918709505|60.823178526874|70.44686072595562
2017|4b|24782|ESCUELA BÁSICA Y ESPECIAL BARROS LUCO |13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13130|SAN MIGUEL|SANTIAGO CENTRO|Particular subvencionado|Medio alto|Urbano|68.62806775212671|74.58751378287612|69.3150853406576|78.72420329356007
2017|4b|24783|COLONIAL DE PIRQUE|13|REGION METROPOLITANA DE SANTIAGO|2|CORDILLERA|13202|PIRQUE|CORDILLERA|Particular pagado|Alto|Urbano|74.86074250190437|80.42018547833045|75.71905199998132|82.71936864566661
2017|4b|24789|COLEGIO MONTEVERDE ANEXO|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13122|PEÑALOLÉN|SANTIAGO ORIENTE|Particular subvencionado|Medio|Urbano|72.01904531095642|74.7403376707083|65.85645353258835|78.20508688141541
2017|4b|24790|COLEGIO EL PRADO|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13124|PUDAHUEL|SANTIAGO PONIENTE|Particular subvencionado|Medio|Urbano|71.80624583119855|68.23413131992346|60.80307344241356|74.2090852668794
2017|4b|24795|COLEGIO EMAUS|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13114|LAS CONDES|SANTIAGO ORIENTE|Particular pagado|Alto|Urbano|67.05253560482814|74.26963242778999|72.25387057924442|75.15958002153359
2017|4b|24798|COLEGIO SANTA MARIA DE LO CANAS|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13110|LA FLORIDA|CORDILLERA|Particular pagado|Alto|Urbano|69.81994498313533|74.69130433513263|70.80727761262659|79.67179954951514
2017|4b|24800|COLEGIO FLORIDA HIGH SCHOOL|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13110|LA FLORIDA|CORDILLERA|Particular subvencionado|Medio alto|Urbano|74.15142679497265|67.18726702172664|72.87082715217183|70.36336249730265
2017|4b|24801|COLEGIO HENRY FAYOL|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13120|ÑUÑOA|SANTIAGO ORIENTE|Particular pagado|Alto|Urbano|62.49213566281677|69.32131831389698|59.85526119700594|62.73807672656992
2017|4b|24803|ESCUELA BASICA PART GRATUITA CASA AZUL|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13111|LA GRANJA|SANTIAGO SUR|Particular subvencionado|Bajo|Urbano|69.81005813358492|60.1934597123358|62.78390605252439|77.34487607022221
