rbd,agno,grado,ind,prom,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_depe2,cod_grupo,cod_rural_rbd
7745,2022,4,CC,83,ESCUELA PARTICULAR N.199 LINEA CRUZADA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7745,2022,4,HV,82,ESCUELA PARTICULAR N.199 LINEA CRUZADA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7745,2022,4,PF,82,ESCUELA PARTICULAR N.199 LINEA CRUZADA,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7749,2022,4,AM,81,ESCUELA PARTICULAR N.203 ALBERTO DROPPELMANN,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7749,2022,4,CC,80,ESCUELA PARTICULAR N.203 ALBERTO DROPPELMANN,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7749,2022,4,HV,53,ESCUELA PARTICULAR N.203 ALBERTO DROPPELMANN,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7749,2022,4,PF,84,ESCUELA PARTICULAR N.203 ALBERTO DROPPELMANN,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7752,2022,4,AM,83,ESCUELA PARTICULAR N.206 MARIA DOLORES,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7752,2022,4,CC,88,ESCUELA PARTICULAR N.206 MARIA DOLORES,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7752,2022,4,HV,81,ESCUELA PARTICULAR N.206 MARIA DOLORES,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7752,2022,4,PF,80,ESCUELA PARTICULAR N.206 MARIA DOLORES,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,2,2,2
7753,2022,4,AM,72,ESCUELA BASICA FRONTERIZA JUAN SOLER MANFRED,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,2,2
7753,2022,4,CC,70,ESCUELA BASICA FRONTERIZA JUAN SOLER MANFRED,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,2,2
7753,2022,4,HV,72,ESCUELA BASICA FRONTERIZA JUAN SOLER MANFRED,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,2,2
7753,2022,4,PF,77,ESCUELA BASICA FRONTERIZA JUAN SOLER MANFRED,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,2,2
7754,2022,4,AM,76,ESCUELA RURAL JOHN KENNEDY,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,1,2
7754,2022,4,CC,90,ESCUELA RURAL JOHN KENNEDY,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,1,2
7754,2022,4,HV,74,ESCUELA RURAL JOHN KENNEDY,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,1,2
7754,2022,4,PF,82,ESCUELA RURAL JOHN KENNEDY,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,1,2
7755,2022,4,AM,,ESCUELA RURAL SOBERANIA,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,1,2
7755,2022,4,CC,,ESCUELA RURAL SOBERANIA,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,1,2
7755,2022,4,HV,,ESCUELA RURAL SOBERANIA,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,1,2
7755,2022,4,PF,,ESCUELA RURAL SOBERANIA,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,1,2
7756,2022,4,AM,87,ESCUELA RURAL CRISTO REY,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7756,2022,4,CC,86,ESCUELA RURAL CRISTO REY,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7756,2022,4,HV,91,ESCUELA RURAL CRISTO REY,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7756,2022,4,PF,97,ESCUELA RURAL CRISTO REY,10,DE LOS LAGOS,101,LLANQUIHUE,10109,PUERTO VARAS,Llanquihue,1,1,2
7757,2022,4,AM,,ESCUELA RURAL SANTA AGUEDA,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,3,2
7757,2022,4,CC,,ESCUELA RURAL SANTA AGUEDA,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,3,2
7757,2022,4,HV,,ESCUELA RURAL SANTA AGUEDA,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,3,2
7757,2022,4,PF,,ESCUELA RURAL SANTA AGUEDA,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,3,2
7758,2022,4,AM,76,ESCUELA RURAL SAN ANTONIO,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,4,2
7758,2022,4,CC,86,ESCUELA RURAL SAN ANTONIO,10,DE LOS LAGOS,101,LLANQUIHUE,10103,COCHAMÓ,Llanquihue,1,4,2
