"rbd";"grado";"agno";"ind";"prom";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"fecha_bbdd";"codigo_bdd"
469;4;2023;PF;79;ESCUELA BÁSICA JUSTINO LEIVA AMOR;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;2;20240528;final20240528v1
471;4;2023;AM;80;ESCUELA BÁSICA SARA BEMBOW VILLEGAS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;2;20240528;final20240528v1
471;4;2023;CC;81;ESCUELA BÁSICA SARA BEMBOW VILLEGAS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;2;20240528;final20240528v1
471;4;2023;HV;68;ESCUELA BÁSICA SARA BEMBOW VILLEGAS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;2;20240528;final20240528v1
471;4;2023;PF;83;ESCUELA BÁSICA SARA BEMBOW VILLEGAS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;3;2;20240528;final20240528v1
476;4;2023;AM;77;ESCUELA BÁSICA SOR TERESA DE LOS ANDES;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;2;20240528;final20240528v1
476;4;2023;CC;73;ESCUELA BÁSICA SOR TERESA DE LOS ANDES;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;2;20240528;final20240528v1
476;4;2023;HV;65;ESCUELA BÁSICA SOR TERESA DE LOS ANDES;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;2;20240528;final20240528v1
476;4;2023;PF;74;ESCUELA BÁSICA SOR TERESA DE LOS ANDES;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;4;2;2;20240528;final20240528v1
478;4;2023;AM;70;LICEO SANTA MARTA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;2;4;1;20240528;final20240528v1
478;4;2023;CC;77;LICEO SANTA MARTA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;2;4;1;20240528;final20240528v1
478;4;2023;HV;71;LICEO SANTA MARTA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;2;4;1;20240528;final20240528v1
478;4;2023;PF;75;LICEO SANTA MARTA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;2;4;1;20240528;final20240528v1
479;4;2023;AM;80;LICEO SAN FRANCISCO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;2;4;1;20240528;final20240528v1
479;4;2023;CC;82;LICEO SAN FRANCISCO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;2;4;1;20240528;final20240528v1
479;4;2023;HV;77;LICEO SAN FRANCISCO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;2;4;1;20240528;final20240528v1
479;4;2023;PF;84;LICEO SAN FRANCISCO;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;Huasco - Vallenar;2;4;1;20240528;final20240528v1
