rbd,agno,curso,prom_mate_rbd,prom_lect_rbd,cod_grupo,cod_depe2,cod_rural_rbd,ind_am,ind_cc,ind_hv,ind_pf
22024,2024,2m,223.0,235.0,1.0,2,2,,80.0,,
9283,2024,2m,235.0,264.0,3.0,1,1,,81.0,,
9950,2024,2m,293.0,256.0,3.0,2,1,,84.0,,
10783,2024,2m,245.0,227.0,2.0,1,1,,84.0,,
1294,2024,2m,338.0,271.0,3.0,2,1,,81.0,,
1958,2024,2m,214.0,202.0,1.0,1,1,,76.0,,
25121,2024,2m,260.0,244.0,2.0,2,1,,82.0,,
26080,2024,2m,293.0,242.0,5.0,3,1,,82.0,,
4563,2024,2m,241.0,236.0,2.0,4,1,,80.0,,
9973,2024,2m,304.0,299.0,5.0,2,1,,81.0,,
1194,2024,2m,224.0,247.0,3.0,1,1,,73.0,,
1858,2024,2m,253.0,254.0,2.0,2,1,,75.0,,
22144,2024,2m,326.0,287.0,5.0,3,1,,83.0,,
12741,2024,2m,211.0,240.0,2.0,2,1,,87.0,,
255,2024,2m,230.0,251.0,3.0,2,1,,80.0,,
11994,2024,2m,202.0,196.0,1.0,2,1,,74.0,,
10073,2024,2m,252.0,202.0,2.0,2,1,,82.0,,
8911,2024,2m,290.0,281.0,5.0,3,1,,80.0,,
25725,2024,2m,348.0,300.0,4.0,2,1,,77.0,,
24978,2024,2m,297.0,237.0,1.0,2,1,,80.0,,
6896,2024,2m,248.0,251.0,3.0,2,1,,80.0,,
12884,2024,2m,358.0,284.0,5.0,3,1,,84.0,,
9054,2024,2m,325.0,296.0,5.0,3,1,,80.0,,
3730,2024,2m,246.0,259.0,2.0,2,1,,90.0,,
5957,2024,2m,232.0,250.0,2.0,1,1,,90.0,,
14699,2024,2m,281.0,277.0,3.0,2,1,,89.0,,
1629,2024,2m,340.0,303.0,5.0,3,1,,89.0,,
3538,2024,2m,239.0,247.0,1.0,1,1,,83.0,,
9930,2024,2m,223.0,204.0,2.0,2,1,,81.0,,
647,2024,2m,245.0,257.0,2.0,2,1,,74.0,,
20209,2024,2m,292.0,282.0,4.0,2,1,,77.0,,
4975,2024,2m,250.0,239.0,2.0,2,1,,84.0,,
2356,2024,2m,263.0,270.0,3.0,2,1,,83.0,,
7331,2024,2m,253.0,239.0,2.0,1,1,,79.0,,
9246,2024,2m,324.0,288.0,5.0,3,1,,84.0,,
590,2024,2m,313.0,283.0,4.0,3,1,,85.0,,
13574,2024,2m,255.0,272.0,4.0,3,1,,88.0,,
8997,2024,2m,240.0,262.0,4.0,2,1,,83.0,,
4669,2024,2m,311.0,272.0,4.0,2,1,,81.0,,
17902,2024,2m,300.0,275.0,3.0,2,1,,84.0,,
3252,2024,2m,212.0,230.0,1.0,1,1,,84.0,,
2997,2024,2m,254.0,235.0,2.0,2,1,,85.0,,
3003,2024,2m,228.0,236.0,3.0,2,1,,86.0,,
24892,2024,2m,216.0,214.0,1.0,2,1,,72.0,,
9638,2024,2m,237.0,247.0,2.0,2,1,,80.0,,
441,2024,2m,225.0,220.0,1.0,4,1,,86.0,,
982,2024,2m,197.0,243.0,1.0,1,1,,81.0,,
5267,2024,2m,207.0,196.0,1.0,2,2,,77.0,,
5808,2024,2m,311.0,288.0,5.0,3,1,,80.0,,
18251,2024,2m,272.0,238.0,4.0,2,1,,74.0,,
15589,2024,2m,239.0,231.0,2.0,2,1,,82.0,,
7872,2024,2m,228.0,263.0,1.0,4,1,,88.0,,
8954,2024,2m,282.0,275.0,4.0,2,1,,77.0,,
24935,2024,2m,202.0,234.0,1.0,2,1,,80.0,,
26017,2024,2m,273.0,269.0,4.0,2,1,,77.0,,
22330,2024,2m,303.0,284.0,3.0,2,1,,82.0,,
25625,2024,2m,297.0,280.0,4.0,2,1,,79.0,,
690,2024,2m,274.0,251.0,3.0,2,1,,82.0,,
6641,2024,2m,307.0,214.0,1.0,2,1,,90.0,,
9887,2024,2m,219.0,210.0,2.0,1,1,,78.0,,
25084,2024,2m,243.0,250.0,2.0,2,1,,85.0,,
20158,2024,2m,275.0,277.0,3.0,2,1,,82.0,,
12332,2024,2m,233.0,236.0,2.0,1,1,,89.0,,
11336,2024,2m,253.0,268.0,2.0,2,1,,84.0,,
24403,2024,2m,201.0,201.0,1.0,1,1,,86.0,,
22505,2024,2m,219.0,231.0,2.0,2,1,,80.0,,
20513,2024,2m,310.0,280.0,5.0,3,1,,84.0,,
570,2024,2m,295.0,277.0,3.0,2,1,,90.0,,
20181,2024,2m,317.0,264.0,4.0,2,1,,73.0,,
3865,2024,2m,258.0,266.0,3.0,2,2,,84.0,,
16886,2024,2m,224.0,230.0,2.0,2,1,,79.0,,
3796,2024,2m,289.0,265.0,2.0,2,1,,86.0,,
10457,2024,2m,228.0,227.0,1.0,1,1,,76.0,,
8442,2024,2m,224.0,235.0,3.0,4,1,,83.0,,
31373,2024,2m,308.0,296.0,5.0,3,1,,87.0,,
13188,2024,2m,248.0,248.0,4.0,2,1,,79.0,,
24426,2024,2m,225.0,243.0,2.0,2,1,,75.0,,
9106,2024,2m,228.0,238.0,1.0,1,1,,78.0,,
4483,2024,2m,241.0,234.0,2.0,1,1,,79.0,,
10248,2024,2m,258.0,258.0,2.0,2,1,,82.0,,
6922,2024,2m,221.0,238.0,2.0,2,1,,83.0,,
9584,2024,2m,243.0,231.0,1.0,2,1,,83.0,,
430,2024,2m,197.0,228.0,2.0,2,1,,80.0,,
24898,2024,2m,257.0,272.0,3.0,2,1,,86.0,,
2422,2024,2m,216.0,221.0,1.0,1,1,,82.0,,
9484,2024,2m,279.0,259.0,4.0,2,1,,82.0,,
17765,2024,2m,271.0,240.0,3.0,2,1,,80.0,,
4984,2024,2m,228.0,237.0,1.0,1,1,,82.0,,
3656,2024,2m,256.0,264.0,1.0,1,1,,89.0,,
1781,2024,2m,288.0,279.0,5.0,3,1,,72.0,,
25591,2024,2m,221.0,219.0,1.0,1,1,,78.0,,
7709,2024,2m,288.0,279.0,3.0,2,1,,85.0,,
22196,2024,2m,299.0,246.0,3.0,2,2,,81.0,,
16955,2024,2m,327.0,267.0,2.0,2,1,,82.0,,
384,2024,2m,222.0,225.0,2.0,4,1,,74.0,,
802,2024,2m,246.0,215.0,1.0,1,1,,79.0,,
18114,2024,2m,271.0,267.0,3.0,2,1,,87.0,,
1635,2024,2m,246.0,221.0,4.0,2,1,,74.0,,
6899,2024,2m,230.0,215.0,1.0,1,2,,81.0,,
161,2024,2m,214.0,233.0,2.0,1,2,,75.0,,
284,2024,2m,221.0,220.0,2.0,1,1,,74.0,,
17719,2024,2m,368.0,265.0,3.0,2,1,,91.0,,
1489,2024,2m,213.0,204.0,2.0,1,1,,76.0,,
12309,2024,2m,241.0,257.0,3.0,2,1,,78.0,,
16932,2024,2m,210.0,223.0,3.0,2,1,,73.0,,
6753,2024,2m,236.0,235.0,1.0,1,1,,85.0,,
25654,2024,2m,353.0,293.0,5.0,3,1,,86.0,,
10749,2024,2m,217.0,222.0,1.0,1,1,,81.0,,
1263,2024,2m,238.0,235.0,1.0,1,1,,83.0,,
1844,2024,2m,248.0,281.0,5.0,3,1,,86.0,,
3172,2024,2m,236.0,233.0,1.0,1,2,,83.0,,
25737,2024,2m,231.0,238.0,2.0,2,1,,80.0,,
22050,2024,2m,233.0,215.0,1.0,1,1,,73.0,,
18220,2024,2m,295.0,277.0,3.0,2,1,,89.0,,
26378,2024,2m,290.0,281.0,4.0,2,1,,77.0,,
26046,2024,2m,324.0,279.0,5.0,3,1,,84.0,,
40155,2024,2m,247.0,252.0,2.0,2,1,,81.0,,
25050,2024,2m,226.0,214.0,2.0,2,1,,77.0,,
8379,2024,2m,233.0,221.0,1.0,4,2,,79.0,,
8542,2024,2m,224.0,241.0,2.0,1,1,,78.0,,
25359,2024,2m,244.0,246.0,3.0,2,1,,84.0,,
9375,2024,2m,233.0,235.0,2.0,2,1,,84.0,,
3719,2024,2m,236.0,248.0,2.0,2,1,,88.0,,
14284,2024,2m,260.0,260.0,3.0,2,1,,78.0,,
