agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect6b_rbd|nalu_mate6b_rbd|nalu_nat6b_rbd|prom_lect6b_rbd|prom_mate6b_rbd|prom_nat6b_rbd|dif_lect6b_rbd|dif_mate6b_rbd|dif_nat6b_rbd|difgru_lect6b_rbd|difgru_mate6b_rbd|difgru_nat6b_rbd|sigdif_lect6b_rbd|sigdif_mate6b_rbd|sigdif_nat6b_rbd|siggru_lect6b_rbd|siggru_mate6b_rbd|siggru_nat6b_rbd|marca_lect6b_rbd|marca_mate6b_rbd|marca_nat6b_rbd|marcadif_lect6b_rbd|marcadif_mate6b_rbd|marcadif_nat6b_rbd|palu_eda_ins_lect6b_rbd|palu_eda_ele_lect6b_rbd|palu_eda_ade_lect6b_rbd|palu_eda_ins_mate6b_rbd|palu_eda_ele_mate6b_rbd|palu_eda_ade_mate6b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2018|6b|10107|9|ESCUELA BASICA PAULO FREIRE|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|17|17|17|266|245|252|36|41|50|28|9|15|1|1|1|1|0|1|||||||17.6|47.1|35.3|29.4|52.9|17.6|0|20190628|final20190628v1
2018|6b|10108|7|ESCUELA LEONARDO DA VINCI|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|28|29|28|247|243|231|7|5|-18|9|7|-6|0|0|0|1|1|0|||||||35.7|28.6|35.7|37.9|51.7|10.3|0|20190628|final20190628v1
2018|6b|10109|5|ESCUELA DOCTOR TREVISO GIRARDI TONELLI|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|19|20|17|192|200|197|-4|0|0|-46|-36|-40|0|0|0|-1|-1|-1|||||3|3|78.9|21.1|0|80|20|0|0|20190628|final20190628v1
2018|6b|10113|3|ESCUELA ELVIRA SANTA CRUZ OSSA|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|56|55|57|223|234|204|11|14|-25|-15|-2|-33|0|1|-1|-1|0|-1|||||||57.1|30.4|12.5|41.8|52.7|5.5|0|20190628|final20190628v1
2018|6b|10114|1|ESCUELA BASICA N°389 REPUBLICA DE ESTAD|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|39|37|36|208|207|198|23|8|-38|-30|-29|-39|1|0|-1|-1|-1|-1|||||||69.2|25.6|5.1|70.3|29.7|0|0|20190628|final20190628v1
2018|6b|10116|8|COLEGIO NEPTUNO|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|33|32|33|233|208|239|31|2|0|-5|-28|2|1|0|0|0|-1|0|||||||54.5|24.2|21.2|71.9|25|3.1|0|20190628|final20190628v1
2018|6b|10117|6|ESCUELA MARIA LUISA BOMBAL|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|19|20|19|243|252|245|29|26|29|5|16|8|1|1|1|0|1|0|||||||47.4|26.3|26.3|30|50|20|0|20190628|final20190628v1
2018|6b|10119|2|ESCUELA POETA VICENTE HUIDOBRO|13|Región Metropolitana de Sant|131|SANTI|13117|Lo Pr|134|PONIE|6|4|2|1|39|38|38|233|229|233|19|6|22|-5|-7|-4|1|0|1|0|-1|0|||||||61.5|20.5|17.9|60.5|28.9|10.5|0|20190628|final20190628v1
2018|6b|10121|4|ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|26|24|27|239|239|232|36|32|0|1|3|-5|1|1|0|0|0|0||||||3|53.8|23.1|23.1|37.5|50|12.5|0|20190628|final20190628v1
2018|6b|10122|2|ESCUELA PROF. MANUEL GUERRERO CEBALLOS|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|1|1|43|36|43|204|206|208|-20|-30|-9|-27|-20|-18|-1|-1|0|-1|-1|-1|||||||76.7|18.6|4.7|66.7|33.3|0|0|20190628|final20190628v1
2018|6b|10123|0|ESCUELA BASICA MELVIN JONES|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|37|41|37|246|228|242|21|3|24|8|-8|5|1|0|1|1|-1|0|||||||35.1|43.2|21.6|51.2|43.9|4.9|0|20190628|final20190628v1
2018|6b|10124|9|ESCUELA SAN DANIEL|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|1|26|26|26|226|226|211|11|2|-8|-12|-10|-26|0|0|0|-1|-1|-1|||||||61.5|26.9|11.5|57.7|34.6|7.7|0|20190628|final20190628v1
2018|6b|10125|7|ESCUELA SARGENTO CANDELARIA|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|2|1|22|22|22|200|214|223|-26|-9|0|-38|-22|-14|-1|0|0|-1|-1|-1||||||3|77.3|18.2|4.5|59.1|36.4|4.5|0|20190628|final20190628v1
2018|6b|10126|5|COMPLEJO EDUCACIONAL CERRO NAVIA|13|Región Metropolitana de Sant|131|SANTI|13103|Cerro|134|PONIE|6|4|1|1|18|18|18|237|233|246|24|34|30|6|7|20|1|1|1|0|0|1|||||||38.9|38.9|22.2|50|38.9|11.1|0|20190628|final20190628v1
2018|6b|10130|3|LICEO CIUDAD DE BRASILIA|13|Región Metropolitana de Sant|131|SANTI|13124|Pudah|134|PONIE|6|4|2|2|35|35|35|249|252|244|5|16|-2|11|16|7|0|1|0|1|1|0|||||||37.1|40|22.9|34.3|37.1|28.6|0|20190628|final20190628v1
