rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
45,2017,4b,289.0,304.0,Medio alto,Urbano,Particular subvencionado,72.27270443873444,81.04411309372973,70.55126898100546,76.60001654973732
45,2022,4b,254.0,279.0,Medio,Urbano,Particular subvencionado,72.0,74.0,68.0,78.0
45,2023,4b,292.0,321.0,Medio,Urbano,Particular subvencionado,70.0,78.0,70.0,73.0
45,2024,4b,290.0,297.0,Medio,Urbano,Particular subvencionado,85.0,83.0,78.0,86.0
45,2025,4b,264.0,279.0,Medio,Urbano,Particular subvencionado,68.0,72.0,69.0,65.0
50,2016,4b,287.0,290.0,Medio,Urbano,Particular subvencionado,73.0,79.0,71.0,77.0
50,2017,4b,281.0,278.0,Medio,Urbano,Particular subvencionado,75.96317118491498,79.07249840013756,71.26174933176556,78.15646274691827
50,2022,4b,252.0,293.0,Medio,Urbano,Particular subvencionado,77.0,75.0,69.0,79.0
50,2023,4b,249.0,261.0,Medio,Urbano,Particular subvencionado,64.0,69.0,70.0,66.0
50,2024,4b,266.0,273.0,Medio bajo,Urbano,Particular subvencionado,92.0,86.0,82.0,93.0
50,2025,4b,255.0,270.0,Medio,Urbano,Particular subvencionado,71.0,75.0,74.0,65.0
52,2016,4b,302.0,296.0,Medio,Urbano,Particular subvencionado,74.0,74.0,67.0,73.0
52,2017,4b,307.0,331.0,Medio,Urbano,Particular subvencionado,77.12584898341254,75.42223075172055,68.3275638033469,74.86642508587761
52,2022,4b,294.0,306.0,Medio,Urbano,Particular subvencionado,77.0,77.0,70.0,77.0
52,2023,4b,289.0,301.0,Medio,Urbano,Particular subvencionado,75.0,73.0,70.0,76.0
52,2024,4b,305.0,330.0,Medio,Urbano,Particular subvencionado,78.0,75.0,75.0,80.0
52,2025,4b,282.0,290.0,Medio,Urbano,Particular subvencionado,71.0,75.0,76.0,73.0
56,2016,4b,277.0,299.0,Medio alto,Urbano,Particular subvencionado,75.0,79.0,74.0,80.0
56,2017,4b,297.0,306.0,Medio alto,Urbano,Particular subvencionado,77.97749551093251,81.68734744747823,73.46372403363789,85.08369904431393
56,2022,4b,265.0,285.0,Alto,Urbano,Particular subvencionado,74.0,76.0,69.0,76.0
56,2023,4b,273.0,309.0,Medio alto,Urbano,Particular subvencionado,74.0,77.0,72.0,80.0
56,2024,4b,251.0,286.0,Medio alto,Urbano,Particular subvencionado,74.0,78.0,71.0,79.0
