rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
133,2016,2m,255.0,252.0,Medio alto,Urbano,Particular subvencionado,73.0,80.0,82.0,76.0
133,2017,2m,275.0,261.0,Medio,Urbano,Particular subvencionado,74.78360255342973,77.51967305890419,77.14039568365015,74.8199559299178
133,2018,2m,287.0,268.0,Medio,Urbano,Particular subvencionado,77.212915966,78.550046212,75.552634058,76.432048973
133,2022,2m,255.0,244.0,Medio,Urbano,Particular subvencionado,79.0,80.0,77.0,81.0
133,2023,2m,245.0,253.0,Medio,Urbano,Particular subvencionado,78.0,77.0,80.0,80.0
133,2024,2m,255.0,252.0,Medio,Urbano,Particular subvencionado,73.0,74.0,72.0,73.0
133,2025,2m,281.0,272.0,Medio,Urbano,Particular subvencionado,73.0,77.0,74.0,73.0
134,2016,2m,199.0,214.0,Medio bajo,Urbano,Particular subvencionado,73.0,62.0,51.0,49.0
134,2017,2m,206.0,212.0,Medio bajo,Urbano,Particular subvencionado,67.37448525536568,70.66372892275784,55.5941666629214,61.53468806359319
134,2018,2m,220.0,214.0,Medio,Urbano,Particular subvencionado,71.160505682,69.978430922,64.215185412,68.16715274
134,2022,2m,228.0,229.0,Medio,Urbano,Particular subvencionado,79.0,77.0,71.0,84.0
134,2023,2m,208.0,240.0,Medio bajo,Urbano,Particular subvencionado,76.0,72.0,70.0,77.0
134,2024,2m,211.0,237.0,Medio bajo,Urbano,Particular subvencionado,67.0,69.0,59.0,67.0
134,2025,2m,227.0,256.0,Medio,Urbano,Particular subvencionado,68.0,75.0,75.0,66.0
144,2016,2m,192.0,213.0,Medio,Urbano,Particular subvencionado,73.0,64.0,65.0,71.0
144,2017,2m,204.0,218.0,Medio,Urbano,Particular subvencionado,78.35408168809224,67.98232599372888,66.62930653671268,76.19236668031789
144,2018,2m,220.0,241.0,Medio,Urbano,Particular subvencionado,71.310066439,65.393231085,65.833898625,70.286111772
144,2022,2m,210.0,196.0,Medio,Urbano,Particular subvencionado,78.0,73.0,71.0,83.0
144,2023,2m,217.0,219.0,Medio,Urbano,Particular subvencionado,72.0,70.0,71.0,75.0
144,2024,2m,214.0,224.0,Medio,Urbano,Particular subvencionado,75.0,71.0,71.0,78.0
144,2025,2m,211.0,223.0,Medio,Urbano,Particular subvencionado,73.0,71.0,76.0,74.0
161,2016,2m,211.0,232.0,Bajo,Rural,Municipal,74.0,68.0,73.0,81.0
161,2017,2m,239.0,248.0,Bajo,Rural,Municipal,65.80359373510069,65.88090843750811,67.67350955516659,71.98491860328437
161,2018,2m,197.0,220.0,Medio bajo,Rural,Municipal,77.583104203,,76.81808743,79.876694591
161,2022,2m,227.0,234.0,Bajo,Rural,Municipal,73.0,70.0,72.0,73.0
161,2023,2m,222.0,211.0,Bajo,Rural,Municipal,84.0,77.0,79.0,85.0
161,2024,2m,214.0,233.0,Medio bajo,Rural,Municipal,79.0,70.0,81.0,80.0
161,2025,2m,200.0,208.0,Bajo,Rural,Municipal,67.0,62.0,67.0,67.0
178,2016,2m,156.0,221.0,Bajo,Rural,Municipal,75.0,,76.0,73.0
178,2017,2m,194.0,182.0,Bajo,Rural,Municipal,77.43368414322369,75.09957966171018,72.08844141393813,74.83241932050055
178,2018,2m,213.0,214.0,Bajo,Rural,Municipal,75.629226303,77.45566065,81.316859802,83.028830336
178,2022,2m,193.0,200.0,Bajo,Rural,Municipal,78.0,79.0,67.0,78.0
178,2023,2m,203.0,195.0,Bajo,Rural,Municipal,79.0,,79.0,82.0
178,2024,2m,222.0,221.0,Bajo,Rural,Municipal,74.0,79.0,76.0,78.0
178,2025,2m,230.0,202.0,Bajo,Rural,Municipal,73.0,70.0,76.0,74.0
